date;insee;ech;tH2_obs
2016-06-20;31069001;1;14.840233951729644
2016-06-21;31069001;1;16.926660623709846
2016-06-22;31069001;1;20.77109361309744
2016-06-23;31069001;1;21.424050294730037
2016-06-24;31069001;1;19.894532051132007
2016-06-25;31069001;1;19.665332883879472
2016-06-26;31069001;1;15.744029640997095
2016-06-27;31069001;1;15.891010841502448
2016-06-28;31069001;1;15.224665465975113
2016-06-29;31069001;1;20.41159820910333
2016-06-30;31069001;1;18.07326935571461
2016-07-01;31069001;1;17.7878201187426
2016-07-02;31069001;1;20.67026667077753
2016-07-03;31069001;1;16.81650813097575
2016-08-01;31069001;1;17.17408892507568
2016-08-02;31069001;1;17.049887850287487
2016-08-03;31069001;1;17.42596508942787
2016-08-04;31069001;1;20.820391177689224
2016-08-05;31069001;1;17.168242088034948
2016-08-06;31069001;1;16.210105456788284
2016-08-07;31069001;1;17.588817542250453
2016-08-08;31069001;1;20.13722053835713
2016-08-09;31069001;1;20.29671784284388
2016-08-10;31069001;1;15.800206503556213
2016-08-11;31069001;1;14.968225834193564
2016-08-12;31069001;1;14.95314890417583
2016-08-13;31069001;1;17.686309741470502
2016-08-14;31069001;1;19.761871643981934
2016-09-12;31069001;1;18.7390333471714
2016-09-13;31069001;1;22.823413974535388
2016-09-14;31069001;1;17.38691262169013
2016-09-15;31069001;1;13.687945524669594
2016-09-16;31069001;1;14.907040501796859
2016-09-17;31069001;1;14.943235854270078
2016-09-18;31069001;1;13.106826562870673
2016-09-19;31069001;1;15.534626075294454
2016-09-20;31069001;1;17.04666317156541
2016-09-21;31069001;1;15.138150135412511
2016-09-22;31069001;1;12.0345210517951
2016-09-23;31069001;1;14.898265412685628
2016-09-24;31069001;1;14.996014574218904
2016-09-25;31069001;1;18.10838366404333
2016-10-24;31069001;1;17.613844473531913
2016-10-25;31069001;1;13.845120489497425
2016-10-26;31069001;1;14.885714736376894
2016-10-27;31069001;1;12.140866903504016
2016-10-28;31069001;1;7.241633218876907
2016-10-29;31069001;1;6.148708884473043
2016-10-30;31069001;1;7.157662929488492
2016-10-31;31069001;1;10.889494100216377
2016-11-01;31069001;1;12.499004330852564
2016-11-02;31069001;1;9.751545669526333
2016-11-03;31069001;1;11.553750312699197
2016-11-04;31069001;1;7.009964740412103
2016-11-05;31069001;1;11.934707393280206
2016-11-06;31069001;1;7.94854308815226
2016-12-05;31069001;1;12.515286167008231
2016-12-06;31069001;1;7.078352926401626
2016-12-07;31069001;1;4.4102278989771895
2016-12-08;31069001;1;9.189776375918855
2016-12-09;31069001;1;9.987905447131196
2016-12-10;31069001;1;3.941688158148611
2016-12-11;31069001;1;1.0507072147136858
2016-12-12;31069001;1;4.4597371162704285
